,Serial Number,SMILES,Number of Unique Zeolites,List of Zeolites
336,337,CC[N+]1(CC)CCC[C@H]2CCCC[C@@H]21,111,"['AEI', 'AET', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFX', 'AFY', 'AVE', 'AVL', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PUN', 'PWN', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
337,338,CC[N+]1(CC)CCC[C@H]2CCCC[C@@H]2C1,91,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MWW', 'POS', 'PWN', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
338,339,CC[N+]1(CC)CCC[C@H]2CCCC[C@H]21,112,"['AEI', 'AET', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'ETV', 'EUO', 'EZT', 'FAR', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JST', 'KFI', 'LTA', 'LTF', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
339,340,CC[N+]1(CC)CCC[C@H]2CCCC[C@H]2C1,91,"['AEI', 'AFI', 'AFR', 'AFS', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MWW', 'OFF', 'POS', 'PWN', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
340,341,CC[N+]1(CC)CCC[C@H]2C[C@@H]1C2(C)C,107,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TER', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
341,342,CC[N+]1(CC)CCC[C@H]2C[C@H]1C2(C)C,89,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'OFF', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'SWY', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
342,343,CC[N+]1(CC)CC[C@@H](C)[C@@H]2C[C@H]1C2(C)C,88,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'OFF', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
343,344,CC[N+]1(CC)CC[C@@H](C)[C@H]2C[C@@H]1C2(C)C,85,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'STF', 'STO', 'STT', 'STW', 'SWY', 'UFI', 'USI', 'UTL', 'VFI']"
344,345,CC[N+]1(CC)CC[C@@H]2CCCC[C@@H]2CC1,83,"['AEI', 'AEL', 'AFI', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFN', 'SFO', 'SFS', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
345,346,CC[N+]1(CC)CC[C@@H]2CCCC[C@H]2CC1,85,"['AEI', 'AEL', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MWW', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
346,347,CC[N+]1(CC)CC[C@@H]2CC[C@H]1[C@@H](C)[C@@H]2C,107,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JST', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TER', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
347,348,CC[N+]1(CC)CC[C@@H]2CC[C@H]1[C@@H](C)[C@H]2C,108,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTT', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
348,349,CC[N+]1(CC)CC[C@@H]2CC[C@H]1[C@H](C)[C@@H]2C,104,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TER', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
349,350,CC[N+]1(CC)CC[C@@H]2CC[C@H]1[C@H](C)[C@H]2C,103,"['AEI', 'AEL', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OKO', 'OSO', 'PCS', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'TER', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
350,351,CC[N+]1(CC)CC[C@H](C)[C@@H]2C[C@H]1C2(C)C,86,"['AEI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'UFI', 'USI', 'UTL', 'VFI']"
351,352,CC[N+]1(CC)CC[C@H](C)[C@H]2C[C@@H]1C2(C)C,89,"['AEI', 'AFI', 'AFR', 'AFS', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'JST', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TUN', 'UFI', 'USI', 'UTL', 'VFI']"
352,353,CC[N+]1(CC)CC[C@H]2CCCC[C@@H]2CC1,81,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MWW', 'POS', 'PWN', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'UFI', 'USI', 'UTL', 'VFI']"
353,354,CC[N+]1(CC)CC[C@H]2CC[C@@H]1[C@@H](C)[C@@H]2C,102,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'TER', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
354,355,CC[N+]1(CC)CC[C@H]2CC[C@@H]1[C@@H](C)[C@H]2C,102,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JST', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OKO', 'OSO', 'PCS', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'SWY', 'TER', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
355,356,CC[N+]1(CC)CC[C@H]2CC[C@@H]1[C@H](C)[C@@H]2C,105,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OKO', 'OSO', 'PCS', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TER', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
356,357,CC[N+]1(CC)CC[C@H]2CC[C@@H]1[C@H](C)[C@H]2C,106,"['AEI', 'AET', 'AFI', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTW', 'MWW', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PUN', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STO', 'STT', 'STW', 'SWY', 'TER', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
357,358,CC[N+]1(CC)C[C@@H](C)CC[C@@H]1C,126,"['AEI', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'KFI', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MSO', 'MTF', 'MTT', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PUN', 'PWN', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TER', 'TSC', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
