,Serial Number,SMILES,Number of Unique Zeolites,List of Zeolites
10,11,C(CC[N+]12CCC(CC1)NC2)CC[N+]12CCC(CC1)NC2,43,"['AEL', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CTH', 'DFO', 'EEI', 'EMT', 'ETR', 'EUO', 'GME', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWW', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'SAO', 'SBE', 'SFG', 'SFS', 'SFW', 'SOV', 'SSF', 'SWY', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
11,12,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,58,"['AEL', 'AET', 'AFS', 'AFT', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CTH', 'DFO', 'EEI', 'EMT', 'ETR', 'EUO', 'FAU', 'GIU', 'GME', 'IFY', 'IRR', 'ISV', 'ITG', 'ITT', 'IWR', 'IWS', 'IWW', 'LIO', 'LTL', 'MEI', 'MOR', 'MOZ', 'MSE', 'MWW', 'OFF', 'OKO', 'PCS', 'POS', 'SAO', 'SAT', 'SBE', 'SBS', 'SBT', 'SFG', 'SFS', 'SOR', 'SOV', 'SSF', 'SWY', 'TER', 'TON', 'TUN', 'UOV', 'UTL', 'VFI']"
12,13,C1CC23CCC[N+]2(C1)CCC3,106,"['AEI', 'AFI', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AST', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'GME', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'JSW', 'KFI', 'LAU', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MRT', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TON', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
13,14,C1CC2CCC1CNC2,149,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFO', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AST', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOF', 'BOZ', 'BPH', 'BRE', 'CDO', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EON', 'ESV', 'ETL', 'ETR', 'ETV', 'EUO', 'EWS', 'EZT', 'FAU', 'FER', 'GIU', 'GON', 'HEU', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JNT', 'JSR', 'JSW', 'KFI', 'LAU', 'LEV', 'LIO', 'LOS', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOZ', 'MRE', 'MRT', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSI', 'OSO', 'OWE', 'PCR', 'PCS', 'PHI', 'POR', 'POS', 'PTY', 'PUN', 'PWO', 'PWW', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAT', 'SAV', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOS', 'UOV', 'UOZ', 'USI', 'UTL', 'VFI', 'ZON']"
14,15,C1CCC2(C1)CCC[NH2+]2,128,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AST', 'ASV', 'ATS', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGF', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FER', 'GME', 'GON', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'JST', 'JSW', 'KFI', 'LAU', 'LEV', 'LOS', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MRT', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'OWE', 'PON', 'POS', 'PUN', 'PWO', 'PWW', 'RHO', 'RRO', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'UOS', 'UOV', 'UOZ', 'USI', 'UTL', 'VFI', 'ZON']"
15,16,C1CCCNCC1,168,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFO', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AHT', 'AST', 'ASV', 'ATN', 'ATO', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOF', 'BOG', 'BPH', 'BRE', 'CAN', 'CDO', 'CFI', 'CGF', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DAC', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'ETV', 'EWS', 'EZT', 'FAR', 'FER', 'FRA', 'GIU', 'GME', 'GON', 'HEU', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'ITW', 'IWR', 'IWS', 'IWW', 'JNT', 'JRY', 'JSN', 'JSR', 'JST', 'JSW', 'KFI', 'LAU', 'LEV', 'LIO', 'LOS', 'LTA', 'LTF', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MRT', 'MSE', 'MSO', 'MTF', 'MTT', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSI', 'OSO', 'OWE', 'PCR', 'PCS', 'POR', 'POS', 'PTY', 'PUN', 'PWN', 'PWO', 'PWW', 'RRO', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOS', 'SSF', 'SSY', 'STF', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TER', 'THO', 'TOL', 'TON', 'TUN', 'UEI', 'UFI', 'UOE', 'UOS', 'UOZ', 'USI', 'UTL', 'VET', 'ZON']"
16,17,C1CCCNCCC1,124,"['AEI', 'AEL', 'AFI', 'AFN', 'AFO', 'AFR', 'AFS', 'AFV', 'AFX', 'AHT', 'AST', 'ASV', 'ATS', 'AVL', 'AWW', 'BEC', 'BOZ', 'BPH', 'CFI', 'CGF', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DDR', 'DFO', 'EAB', 'EEI', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FER', 'GME', 'GON', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'JSW', 'KFI', 'LAU', 'LEV', 'LOS', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MRT', 'MSE', 'MTF', 'MTT', 'MTW', 'MWW', 'OFF', 'OWE', 'PHI', 'PON', 'POS', 'PUN', 'PWO', 'PWW', 'RRO', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TON', 'TUN', 'UOE', 'UOS', 'UOZ', 'USI', 'UTL', 'VET', 'VFI', 'ZON']"
17,18,C1CCC[N+]2(CC1)CCCCC2,111,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JST', 'KFI', 'LAU', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOZ', 'MRE', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PWN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'UFI', 'UOS', 'USI', 'VFI']"
18,19,C1CCC[N+]2(CC1)CCCCCC2,104,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'ATO', 'ATS', 'AVE', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MTT', 'MTW', 'MWW', 'NON', 'POS', 'PWN', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VET', 'VFI']"
19,20,C1CCN(C2CCNCC2)CC1,117,"['AEI', 'AEL', 'AFI', 'AFN', 'AFO', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AST', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DDR', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETR', 'EUO', 'EWS', 'EZT', 'FER', 'GME', 'GON', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JST', 'JSW', 'KFI', 'LAU', 'LTA', 'LTL', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MTF', 'MWW', 'OFF', 'PON', 'POS', 'PUN', 'PWN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'RUT', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOF', 'SOR', 'SOS', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'UFI', 'UOS', 'UOV', 'UOZ', 'USI', 'UTL', 'VFI']"
